yyyyq,price,d12,e12,ret,retx,AAA,BAA,lty,ltr,corpr,tbl,Rfree,d/p,d/y,e/p,d/e,b/m,tms,dfy,dfr,infl,eqis,ntis,svar,cay,i/k,csp,pce,vp,impvar,vrp,govik,lzrt,skew,crdstd,ogap,wtexas,accrul,cfacc,sntm,ndrbl,skvw,tail,fbm,dtoy,dtoat,ygap,rdsp,rsvix,gpce,gip,tchi,house,avgcor,shtint,disag
18711,4.61,0.2600,0.4000,,,,,,,,,,0.056399,0.057778,0.086768,0.650000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18712,4.82,0.2600,0.4000,,,,,,,,,0.012755,0.053942,0.053498,0.082988,0.650000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18713,4.84,0.2600,0.4000,,,,,,,,,0.010120,0.053719,0.054280,0.082645,0.650000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18714,4.74,0.2600,0.4000,,,,,,,,,0.013663,0.054852,0.056034,0.084388,0.650000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18721,5.04,0.2700,0.4075,,,,,,,,,0.020924,0.053571,0.055328,0.080853,0.662577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18722,5.13,0.2800,0.4150,,,,,,,,,0.018002,0.054581,0.054054,0.080897,0.674699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18723,4.95,0.2900,0.4225,,,,,,,,,0.012201,0.058586,0.057540,0.085354,0.686391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18724,5.07,0.3000,0.4300,,,,,,,,,0.021057,0.059172,0.060606,0.084813,0.697674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18731,5.11,0.3075,0.4375,,,,,,,,,0.022894,0.060176,0.059709,0.085616,0.702857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18732,4.98,0.3150,0.4450,,,,,,,,,0.021322,0.063253,0.062376,0.089357,0.707865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18733,4.59,0.3225,0.4525,,,,,,,,,0.014039,0.070261,0.064889,0.098584,0.712707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18734,4.42,0.3300,0.4600,,,,,,,,,0.030532,0.074661,0.081683,0.104072,0.717391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18741,4.73,0.3300,0.4600,,,,,,,,,0.020614,0.069767,0.068750,0.097252,0.717391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18742,4.46,0.3300,0.4600,,,,,,,,,0.012511,0.073991,0.073661,0.103139,0.717391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18743,4.54,0.3300,0.4600,,,,,,,,,0.011227,0.072687,0.073826,0.101322,0.717391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18744,4.54,0.3300,0.4600,,,,,,,,,0.012755,0.072687,0.072210,0.101322,0.717391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18751,4.59,0.3225,0.4350,,,,,,,,,0.012201,0.070261,0.071192,0.094771,0.741379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18752,4.38,0.3150,0.4100,,,,,,,,,0.011980,0.071918,0.070470,0.093607,0.768293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18753,4.37,0.3075,0.3850,,,,,,,,,0.008991,0.070366,0.069728,0.088101,0.798701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18754,4.37,0.3000,0.3600,,,,,,,,,0.011958,0.068650,0.068650,0.082380,0.833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
